2025-09-02 09:12:33 CST LOG:  database system was interrupted; last known up at 2025-09-02 08:54:51 CST
2025-09-02 09:12:35 CST LOG:  database system was not properly shut down; automatic recovery in progress
2025-09-02 09:12:35 CST LOG:  redo starts at 0/1A82950
2025-09-02 09:12:35 CST LOG:  invalid record length at 0/1A82A58: expected at least 24, got 0
2025-09-02 09:12:35 CST LOG:  redo done at 0/1A82A20 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-09-02 09:12:35 CST LOG:  checkpoint starting: end-of-recovery immediate wait
2025-09-02 09:12:35 CST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.003 s, total=0.015 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1A82A58, redo lsn=0/1A82A58
2025-09-02 10:21:09 CST ERROR:  canceling statement due to user request
2025-09-02 10:21:09 CST ERROR:  canceling statement due to user request
2025-09-02 10:21:09 CST LOG:  shutting down
2025-09-02 10:21:09 CST LOG:  checkpoint starting: shutdown immediate
2025-09-02 10:21:09 CST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.011 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1A82B08, redo lsn=0/1A82B08
