2025-10-05 18:46:48 CST LOG:  database system was interrupted; last known up at 2025-10-05 12:03:16 CST
2025-10-05 18:46:51 CST LOG:  database system was not properly shut down; automatic recovery in progress
2025-10-05 18:46:51 CST LOG:  redo starts at 0/1A87DB8
2025-10-05 18:46:51 CST LOG:  invalid record length at 0/1A87EC0: expected at least 24, got 0
2025-10-05 18:46:51 CST LOG:  redo done at 0/1A87E88 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-10-05 18:46:51 CST LOG:  checkpoint starting: end-of-recovery immediate wait
2025-10-05 18:46:51 CST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.017 s, total=0.041 s; sync files=2, longest=0.010 s, average=0.009 s; distance=0 kB, estimate=0 kB; lsn=0/1A87EC0, redo lsn=0/1A87EC0
2025-10-05 22:55:58 CST ERROR:  canceling statement due to user request
2025-10-05 22:55:58 CST ERROR:  canceling statement due to user request
2025-10-05 22:55:58 CST LOG:  shutting down
2025-10-05 22:55:58 CST LOG:  checkpoint starting: shutdown immediate
2025-10-05 22:55:58 CST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.028 s, sync=0.001 s, total=0.092 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1A87F70, redo lsn=0/1A87F70
